config,removed_id,library_name,model_type,model_name,k,verified
ibm-granite/granite-embedding-125m-english,,,,,,
avsolatorio/GIST-large-Embedding-v0,,,,,,
ibm-granite/granite-embedding-125m-english,,,,,,
w601sxs/b1ade-embed,,,,,,
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name,ibm-granite/granite-embedding-125m-english,1.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,code,avsolatorio/GIST-large-Embedding-v0,1.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,docstring,ibm-granite/granite-embedding-125m-english,1.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,nodoc,w601sxs/b1ade-embed,1.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name_nodoc,weighted,1.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name,ibm-granite/granite-embedding-125m-english,3.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,code,avsolatorio/GIST-large-Embedding-v0,3.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,docstring,ibm-granite/granite-embedding-125m-english,3.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,nodoc,w601sxs/b1ade-embed,3.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name_nodoc,weighted,3.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name,ibm-granite/granite-embedding-125m-english,5.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,code,avsolatorio/GIST-large-Embedding-v0,5.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,docstring,ibm-granite/granite-embedding-125m-english,5.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,nodoc,w601sxs/b1ade-embed,5.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name_nodoc,weighted,5.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name,ibm-granite/granite-embedding-125m-english,7.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,code,avsolatorio/GIST-large-Embedding-v0,7.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,docstring,ibm-granite/granite-embedding-125m-english,7.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,nodoc,w601sxs/b1ade-embed,7.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name_nodoc,weighted,7.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name,ibm-granite/granite-embedding-125m-english,10.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,code,avsolatorio/GIST-large-Embedding-v0,10.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,docstring,ibm-granite/granite-embedding-125m-english,10.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,nodoc,w601sxs/b1ade-embed,10.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name_nodoc,weighted,10.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name,ibm-granite/granite-embedding-125m-english,15.0,False
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,code,avsolatorio/GIST-large-Embedding-v0,15.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,docstring,ibm-granite/granite-embedding-125m-english,15.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,nodoc,w601sxs/b1ade-embed,15.0,True
,f7320d5234ebd033ffee5f553ecabb6e59f9eed55cdbbd7e56042cb036936cc9,sqlalchemy,name_nodoc,weighted,15.0,True
,c7ec57064110e8f91896bbf5bfd32ba9003fa1ace34da8e81bdecdd03cc27b0b,sqlalchemy,name,ibm-granite/granite-embedding-125m-english,1.0,False
,c7ec57064110e8f91896bbf5bfd32ba9003fa1ace34da8e81bdecdd03cc27b0b,sqlalchemy,code,avsolatorio/GIST-large-Embedding-v0,1.0,True
,c7ec57064110e8f91896bbf5bfd32ba9003fa1ace34da8e81bdecdd03cc27b0b,sqlalchemy,docstring,ibm-granite/granite-embedding-125m-english,1.0,True
,c7ec57064110e8f91896bbf5bfd32ba9003fa1ace34da8e81bdecdd03cc27b0b,sqlalchemy,nodoc,w601sxs/b1ade-embed,1.0,False
,c7ec57064110e8f91896bbf5bfd32ba9003fa1ace34da8e81bdecdd03cc27b0b,sqlalchemy,name_nodoc,weighted,1.0,False
,c7ec57064110e8f91896bbf5bfd32ba9003fa1ace34da8e81bdecdd03cc27b0b,sqlalchemy,name,ibm-granite/granite-embedding-125m-english,3.0,False
,c7ec57064110e8f91896bbf5bfd32ba9003fa1ace34da8e81bdecdd03cc27b0b,sqlalchemy,code,avsolatorio/GIST-large-Embedding-v0,3.0,True
